iso3,country,year,scenario,hot_days_proj,hot_days_proj_diff_1981_2010,icing_days_proj,icing_days_proj_diff_1981_2010,trop_nights_proj,trop_nights_proj_diff_1981_2010,hot_days_proj_pct_change_1981_2010,trop_nights_proj_pct_change_1981_2010,icing_days_proj_pct_change_1981_2010,scenario_label,linked_ssp,is_linked_scenario
AUS,AUS,2032,PROJ_SSP126,109.4,16.8,0.0,0.0,130.8,4.0,18.14254859611231,3.1545741324921135,,SSP1-2.6 (low emissions),PROJ_SSP245,False
AUS,AUS,2032,PROJ_SSP245,120.4,27.7,0.0,0.0,128.7,2.0,29.88133764832794,1.5785319652722969,,SSP2-4.5 (middle of the road),PROJ_SSP245,True
AUS,AUS,2032,PROJ_SSP370,122.0,29.4,0.0,0.0,135.8,9.1,31.749460043196542,7.182320441988948,,SSP3-7.0 (high emissions),PROJ_SSP245,False
AUS,AUS,2032,PROJ_SSP585,121.8,29.1,0.0,0.0,128.4,1.7,31.391585760517803,1.3417521704814523,,SSP5-8.5 (very high emissions),PROJ_SSP245,False
AUS,AUS,2033,PROJ_SSP126,113.4,20.8,0.0,0.0,132.6,5.9,22.4622030237581,4.656669297553276,,SSP1-2.6 (low emissions),PROJ_SSP245,False
AUS,AUS,2033,PROJ_SSP245,120.1,27.5,0.0,0.0,126.8,0.1,29.697624190064797,0.07892659826361484,,SSP2-4.5 (middle of the road),PROJ_SSP245,True
AUS,AUS,2033,PROJ_SSP370,122.4,29.7,0.0,0.0,135.2,8.5,32.03883495145631,6.708760852407261,,SSP3-7.0 (high emissions),PROJ_SSP245,False
AUS,AUS,2033,PROJ_SSP585,121.2,28.5,0.0,0.0,132.5,5.8,30.74433656957929,4.57774269928966,,SSP5-8.5 (very high emissions),PROJ_SSP245,False
AUS,AUS,2034,PROJ_SSP126,119.2,26.5,0.0,0.0,132.2,5.5,28.586839266450916,4.3409629044988165,,SSP1-2.6 (low emissions),PROJ_SSP245,False
AUS,AUS,2034,PROJ_SSP245,121.9,29.3,0.0,0.0,126.4,-0.4,31.641468682505398,-0.31545741324921134,,SSP2-4.5 (middle of the road),PROJ_SSP245,True
AUS,AUS,2034,PROJ_SSP370,117.7,25.0,0.0,0.0,135.4,8.7,26.968716289104638,6.86661404893449,,SSP3-7.0 (high emissions),PROJ_SSP245,False
AUS,AUS,2034,PROJ_SSP585,120.3,27.7,0.0,0.0,131.1,4.3,29.913606911447083,3.391167192429022,,SSP5-8.5 (very high emissions),PROJ_SSP245,False
